-------------------------------------------------------------------------------------
Configuration      | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Reference
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).6g | 2[4]   |  7/2 |    478955.9    |                    |          
                   |        |  9/2 |    478956.3    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).6g | 2[5]   |  9/2 |    478957.3    |                    |          
                   |        | 11/2 |    478959.0    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1S).4p    | 2P*    |  1/2 |    481343.01   |                    |          
                   |        |  3/2 |    481361.17   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).5p    | 2F*    |  5/2 |    483510.17   |                    |          
                   |        |  7/2 |    483521.14   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).5d    | 2F     |  7/2 |    489494.53   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).5d    | 2D     |  5/2 |    490140.     |                    |          
                   |        |  3/2 |    490140.     |                    |          
                   |        |      |                |                    |           
2s.2p3.(5S*).4s    | 6S*    |  5/2 |    490418.04   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).5f | 2[4]*  |  7/2 |    491131.37   |                    |          
                   |        |  9/2 |    491132.38   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).5f | 2[3]*  |  7/2 |    491168.25   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).5g | 2[5]   |  9/2 |    491395.56   |                    |          
                   |        | 11/2 |    491395.56   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).5g | 2[4]   |  7/2 |    491407.75   |                    |          
                   |        |  9/2 |    491408.79   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).5f | 2[5]*  |  9/2 |    491460.25   |                    |          
                   |        | 11/2 |    491461.65   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).5g | 2[3]   |  7/2 |    491492.10   |                    |          
                   |        |  5/2 |    491492.10   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).5g | 2[6]   | 11/2 |    491539.20   |                    |          
                   |        | 13/2 |    491539.20   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).5g | 2[2]   |  3/2 |    491592.47   |                    |          
                   |        |  5/2 |    491592.47   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1S<0>).4f | 2[3]*  |  5/2 |    497322.46   |                    |          
                   |        |  7/2 |    497323.25   |                    |          
