---------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                | Reference
                     |        |   3 |    491369.6    |             0.5    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4p     | 3S     |   1 |    492224.55   |             0.2    |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).8s     | 5S*    |   2 |    492692.1+x  |             0.4    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4p     | 3D     |   1 |    492947.4    |             0.2    |  96                                |          
                     |        |   3 |    492947.9    |             0.2    |  98                                |          
                     |        |   2 |    492954.3    |             0.14   |  98                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4p     | 1P     |   1 |    493158.9    |             0.2    |  94                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4p     | 3P     |   0 |    493572.1    |             0.3    |  94                                |          
                     |        |   1 |    493596.0    |             0.3    |  93                                |          
                     |        |   2 |    493603.4    |             0.3    |  94                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4p     | 1D     |   2 |    495312.2    |             0.3    |  96                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).8f     | 5F     |   5 |    496060.0+x  |             0.4    | 100                                |          
                     |        |   2 |    496060.0+x  |             0.4    | 100                                |          
                     |        |   4 |    496060.0+x  |             0.4    | 100                                |          
                     |        |   1 |    496060.0+x  |             0.4    | 100                                |          
                     |        |   3 |    496060.0+x  |             0.4    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).5s     | 3D*    |   3 |    497994.44   |             0.09   | 100                                |          
                     |        |   2 |    498020.88   |             0.10   | 100                                |          
                     |        |   1 |    498039.74   |             0.12   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).5s     | 1D*    |   2 |    498658.714  |             0.07   | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).5p     | 3F     |   4 |    504103.2    |             0.2    | 100                                |          
                     |        |   3 |    504115.9    |             0.2    |  99                                |          
                     |        |   2 |    504131.3    |             0.2    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4d     | 1F*    |   3 |    510300      |           200      |  97                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2P*).4d     | 1P*    |   1 |    511100?     |           400      |  57         :    42  (2D*).5d 1P*  |          
