
1s2.2s2.2p3(4.0S).20p1--3.0P[2.0, 1.0, 0.0], 1.0, 107411.81547 ritzRydberg
1s2.2s2.2p3(4.0S).20p1--3.0P[2.0, 1.0, 0.0], 0.0, 107411.81547 ritzRydberg

1s2.2s2.2p3(4.0S).13g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107447.89806551281 ritzRydberg
1s2.2s2.2p3(4.0S).13g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107447.89806551281 ritzRydberg
1s2.2s2.2p3(4.0S).13g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107447.89806551281 ritzRydberg
1s2.2s2.2p3(4.0S).13g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107447.89806551281 ritzRydberg
1s2.2s2.2p3(4.0S).13g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107447.89806551281 ritzRydberg

1s2.2s2.2p3(4.0S).13g1--3.0G[5.0, 4.0, 3.0], 5.0, 107447.89806551281 ritzRydberg
1s2.2s2.2p3(4.0S).13g1--3.0G[5.0, 4.0, 3.0], 4.0, 107447.89806551281 ritzRydberg
1s2.2s2.2p3(4.0S).13g1--3.0G[5.0, 4.0, 3.0], 3.0, 107447.89806551281 ritzRydberg

1s2.2s2.2p3(4.0S).8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 5.0, 107480.820044 ritzRydberg
1s2.2s2.2p3(4.0S).8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 4.0, 107480.820044 ritzRydberg
1s2.2s2.2p3(4.0S).8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 3.0, 107480.820044 ritzRydberg
1s2.2s2.2p3(4.0S).8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 2.0, 107480.820044 ritzRydberg
1s2.2s2.2p3(4.0S).8f1--5.0F[5.0, 4.0, 3.0, 2.0, 1.0], 1.0, 107480.820044 ritzRydberg

1s2.2s2.2p3(4.0S).8f1--3.0F[4.0, 3.0, 2.0], 4.0, 107480.849628 ritzRydberg
1s2.2s2.2p3(4.0S).8f1--3.0F[4.0, 3.0, 2.0], 3.0, 107480.849628 ritzRydberg
1s2.2s2.2p3(4.0S).8f1--3.0F[4.0, 3.0, 2.0], 2.0, 107480.849628 ritzRydberg

1s2.2s2.2p3(4.0S).14g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107524.38960568859 ritzRydberg
1s2.2s2.2p3(4.0S).14g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107524.38960568859 ritzRydberg
1s2.2s2.2p3(4.0S).14g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107524.38960568859 ritzRydberg
1s2.2s2.2p3(4.0S).14g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107524.38960568859 ritzRydberg
1s2.2s2.2p3(4.0S).14g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107524.38960568859 ritzRydberg

1s2.2s2.2p3(4.0S).14g1--3.0G[5.0, 4.0, 3.0], 5.0, 107524.38960568859 ritzRydberg
